Employee,EducLev,JobGrade,YrHired,YrBorn,Gender,PerfRev,ITJob,Salary,YrsExper,Age
1,5,6,1988,1957,1,5,0,122,29,61
2,4,1,2009,1959,0,6,1,53,8,59
3,4,1,2013,1961,0,1,1,61,4,57
4,4,3,1992,1961,0,7,1,78,25,57
5,5,6,2005,1961,1,7,0,104,32,57
7,5,6,1991,1962,1,6,0,138,33,56
8,4,1,2001,1963,0,4,1,76,16,55
9,4,2,2003,1963,0,5,1,61,14,55
10,4,3,1996,1963,0,3,0,72,21,55
11,3,6,2013,1963,1,2,0,134,34,55
12,2,3,2008,1964,0,7,0,60,9,54
13,4,4,1998,1964,0,3,1,97,19,54
14,5,6,2008,1964,1,5,0,106,19,54
15,5,6,2012,1964,1,6,1,115,30,54
16,2,1,2014,1965,0,6,1,62,10,53
17,4,1,2014,1965,1,2,0,64,3,53
18,2,2,2009,1965,0,5,0,56,8,53
19,4,3,2006,1965,0,2,1,74,11,53
20,4,2,2010,1966,1,5,0,54,7,52
21,5,5,2010,1966,1,2,0,111,17,52
22,5,6,2010,1966,1,8,1,122,22,52
23,5,6,1997,1967,1,4,1,111,20,51
24,4,1,2009,1968,0,3,1,61,8,50
25,4,4,1994,1968,1,5,1,81,23,50
26,4,5,2003,1969,1,4,1,115,24,49
27,4,1,2000,1970,1,1,0,69,17,48
28,4,1,2015,1970,0,4,0,55,2,48
29,1,2,2006,1970,0,5,0,56,11,48
30,4,3,1992,1970,0,7,1,73,25,48
31,4,4,2011,1970,0,4,0,81,16,48
32,4,6,2011,1970,1,6,0,125,21,48
33,4,2,2005,1971,1,3,1,63,12,47
34,4,4,2012,1971,1,3,0,76,5,47
35,4,1,2002,1972,0,7,1,78,15,46
36,3,1,2012,1972,1,3,1,56,5,46
37,5,3,1999,1972,0,3,1,61,18,46
38,4,2,2002,1972,0,5,1,63,15,46
39,4,3,1996,1972,0,7,1,63,21,46
40,5,6,2015,1972,1,3,0,125,12,46
41,4,2,2008,1973,0,6,0,55,9,45
42,4,3,2005,1973,0,4,1,66,12,45
43,1,4,2004,1973,0,2,1,64,13,45
44,5,4,2014,1973,0,5,0,79,3,45
45,4,2,2009,1974,0,3,0,61,8,44
46,4,4,2011,1974,0,4,1,75,16,44
47,5,5,2001,1974,0,7,1,103,16,44
48,5,5,2014,1974,1,2,0,92,8,44
49,5,6,2013,1974,1,3,1,131,14,44
50,4,1,2004,1975,0,3,0,67,13,43
51,4,3,2002,1975,0,3,1,65,15,43
52,5,3,2012,1975,0,3,1,62,5,43
53,4,1,1998,1976,0,7,1,63,19,42
54,4,1,2002,1976,0,2,0,52,15,42
55,5,2,2014,1976,0,3,1,75,3,42
56,4,2,2002,1976,0,0,1,68,15,42
57,3,3,2009,1976,0,3,1,61,8,42
58,4,4,2002,1976,0,3,0,79,15,42
59,4,4,1999,1976,0,5,0,80,17,42
60,4,1,1999,1977,0,5,0,69,18,41
61,3,1,2001,1977,0,3,1,60,16,41
62,4,2,2008,1977,0,4,1,57,9,41
63,5,3,2011,1977,1,5,0,75,6,41
64,4,5,2004,1977,0,6,1,86,13,41
65,5,5,2015,1977,0,7,1,120,12,41
66,4,1,2012,1978,0,4,1,51,5,40
67,5,6,2007,1978,1,7,1,134,10,40
68,4,1,2012,1979,0,3,1,58,5,39
69,4,1,2011,1979,0,2,1,63,11,39
70,3,1,1999,1979,0,5,0,81,18,39
71,4,1,2013,1979,0,5,1,61,4,39
72,2,2,2000,1979,0,4,0,59,17,39
73,3,3,2008,1979,0,5,0,76,9,39
74,4,4,2002,1979,0,4,1,68,15,39
75,3,1,2014,1980,1,4,1,55,3,38
76,4,2,2001,1980,0,5,0,58,16,38
77,4,2,2006,1980,0,4,0,63,11,38
78,5,3,2013,1980,0,2,1,77,4,38
79,4,3,2007,1980,0,3,1,64,10,38
80,4,3,2011,1980,1,2,1,79,6,38
81,3,4,2011,1980,1,3,0,84,6,38
82,4,5,2011,1980,0,4,0,86,16,38
83,3,1,2013,1981,0,5,1,61,14,37
84,4,1,2002,1981,0,6,1,61,15,37
85,4,3,2003,1981,0,3,0,76,16,37
86,5,2,2012,1982,0,3,1,64,5,36
87,4,3,2011,1982,0,3,0,72,6,36
88,5,4,2012,1982,0,4,1,78,13,36
89,5,5,2011,1982,1,6,0,93,6,36
90,4,6,2014,1982,1,4,1,93,13,36
91,2,1,2009,1983,0,4,0,55,8,35
92,N/A,1,2015,1983,0,4,1,61,12,35
93,4,1,2006,1983,0,5,1,53,11,35
94,3,1,2012,1983,0,7,0,54,10,35
95,5,3,2009,1983,0,3,1,61,8,35
96,4,3,2009,1983,0,4,0,68,8,35
97,4,4,2013,1983,0,5,1,87,14,35
98,4,4,2014,1983,0,6,0,92,13,35
99,5,5,2015,1983,0,6,1,119,12,35
100,5,5,2011,1983,1,5,0,111,12,35
101,4,1,2013,1984,0,2,1,53,9,34
102,5,3,2011,1984,0,5,0,81,6,34
103,4,4,2010,1984,0,4,1,86,12,34
104,5,4,2013,1984,0,6,1,76,9,34
105,4,1,2013,1985,0,2,1,70,14,33
106,1,2,2008,1985,0,5,1,63,9,33
107,4,3,2011,1985,0,5,0,63,6,33
108,3,3,2004,1985,0,2,0,71,13,33
109,4,1,2009,1986,0,6,1,56,8,32
110,4,1,2008,1986,0,7,1,56,9,32
111,4,1,2009,1986,0,4,1,53,8,32
112,5,3,2015,1986,0,7,0,59,12,32
113,2,1,2013,1986,0,6,1,53,9,32
114,4,2,2014,1986,0,2,0,67,3,32
115,3,3,2013,1986,0,4,1,73,4,32
116,3,3,2013,1986,0,3,1,82,4,32
117,5,4,2011,1986,1,6,0,79,6,32
118,5,4,2010,1986,0,5,1,72,7,32
119,4,4,2012,1986,0,7,0,80,11,32
120,5,5,2009,1986,0,5,0,89,8,32
121,5,5,2009,1986,1,6,0,97,8,32
122,5,5,2017,1986,0,7,1,100,9,32
123,5,5,2017,1986,0,4,1,114,9,32
124,2,1,2013,1987,0,4,1,53,4,31
125,3,2,2013,1987,0,5,0,68,4,31
126,5,3,2014,1987,0,1,1,63,3,31
127,3,5,2016,1987,1,7,1,93,9,31
128,3,1,2005,1988,0,5,1,59,12,30
129,4,1,2010,1988,0,3,0,51,7,30
130,5,2,2013,1988,0,4,1,60,7,30
131,5,3,2013,1988,1,7,1,79,4,30
132,5,2,2014,1988,1,5,0,65,3,30
133,5,2,2014,1988,0,3,1,65,3,30
134,4,3,2010,1988,0,6,0,67,7,30
135,3,3,2009,1988,0,5,0,58,8,30
136,5,3,2014,1988,0,5,0,79,7,30
137,3,5,2009,1988,0,6,0,88,8,30
138,3,1,2015,1989,0,5,0,48,9,29
139,4,2,2013,1989,0,5,1,67,4,29
140,4,2,2011,1989,0,8,0,93,6,29
141,5,2,2011,1989,0,7,1,67,6,29
142,4,3,2010,1989,0,2,0,65,7,29
143,5,5,2016,1989,1,7,1,95,7,29
144,4,1,2015,1990,1,5,1,48,8,28
145,4,1,2013,1990,0,4,0,54,4,28
146,2,1,2014,1990,1,7,1,48,3,28
147,4,1,2013,1990,0,5,1,59,4,28
148,5,2,2014,1990,1,4,0,70,3,28
149,3,2,2008,1990,0,4,1,55,9,28
150,5,3,2015,1990,0,2,1,71,5,28
151,5,3,2014,1990,0,3,1,58,3,28
152,5,3,2014,1990,0,4,1,78,3,28
153,5,4,2016,1990,1,2,0,80,5,28
154,3,5,2009,1990,1,4,0,96,6,28
155,5,5,2014,1990,1,7,1,93,6,28
156,2,1,2012,1991,0,3,1,61,5,27
157,4,2,2012,1991,0,5,1,74,5,27
158,5,3,2017,1991,0,3,0,62,6,27
159,5,3,2016,1991,0,4,1,70,5,27
160,5,4,2015,1991,0,4,1,76,5,27
161,5,4,2016,1991,0,5,0,79,4,27
162,2,1,2008,1992,0,7,1,53,6,26
163,3,1,2010,1992,0,6,0,52,7,26
164,4,2,2012,1992,0,5,1,57,5,26
165,4,2,2014,1992,0,4,1,70,3,26
166,3,3,2012,1992,1,3,0,64,5,26
167,5,3,2016,1992,1,5,1,71,3,26
168,5,4,2017,1992,1,5,0,81,4,26
169,5,3,2016,1992,1,5,0,97,5,26
170,5,4,2014,1992,1,6,1,98,3,26
171,3,1,2011,1993,0,3,1,48,6,25
172,4,1,2015,1993,0,3,0,51,2,25
173,2,2,2011,1993,1,4,0,59,6,25
174,3,2,2011,1993,0,6,1,59,6,25
175,5,3,2017,1993,0,4,1,71,3,25
176,5,4,2016,1993,1,1,0,73,2,25
177,5,4,2016,1993,1,3,0,79,1,25
178,1,1,2015,1994,0,0,0,53,4,24
179,5,2,2016,1994,0,4,1,61,1,24
180,4,2,2015,1994,0,4,0,72,3,24
181,5,3,2017,1994,0,3,0,65,3,24
182,3,3,2012,1994,1,5,1,64,5,24
183,4,3,2016,1994,1,5,1,65,0,24
184,2,4,2015,1994,1,4,0,80,3,24
185,3,4,2011,1994,1,4,1,76,1,24
186,3,1,2014,1995,1,6,0,52,3,23
187,2,1,2014,1995,1,5,1,55,3,23
188,3,2,2016,1995,1,2,1,61,0,23
189,3,1,2013,1996,0,4,0,54,4,22
190,4,1,2016,1996,0,5,1,55,3,22
191,4,1,2016,1996,1,2,1,53,3,22
192,4,2,2017,1996,1,3,0,54,2,22
193,4,2,2016,1996,1,4,0,64,2,22
194,3,3,2017,1996,0,5,1,68,3,22
195,2,2,2016,1996,1,6,0,75,1,22
196,2,1,2017,1997,1,6,1,57,3,21
197,3,1,2017,1997,1,4,1,55,0,21
198,4,2,2017,1997,0,4,0,51,2,21
199,3,2,2017,1997,1,4,1,66,0,21
200,4,2,2017,1997,1,3,0,62,2,21
201,3,1,2016,1997,1,7,1,74,1,21
202,3,2,2016,1997,0,7,0,64,2,21
203,2,1,2017,1998,0,3,1,62,1,20
204,2,2,2016,1998,1,5,1,60,1,20
205,2,1,2016,1998,0,7,1,68,2,20
206,1,1,2015,1999,0,5,1,55,2,19
207,3,1,2016,1999,1,6,0,55,1,19
208,2,1,2017,2001,1,6,0,59,0,17
209,2,1,2017,2001,0,2,1,42,0,17
